id,FPR_log,DET_log
263,-6.7980799122,-2.6718714703
264,-6.7980799122,-2.6745134798
265,-6.7733872996,-2.677162488
266,-6.7733872996,-2.6824816494
267,-6.749289748,-2.6878292558
268,-6.749289748,-2.6905138211
269,-6.749289748,-2.6932056128
270,-6.7027697324,-2.6959046698
271,-6.6802968765,-2.7013247372
272,-6.6583179698,-2.706774342
273,-6.6583179698,-2.7177634636
274,-6.6583179698,-2.7205297171
275,-6.6368117646,-2.7205297171
276,-6.5951390682,-2.7205297171
277,-6.5951390682,-2.723303644
278,-6.5951390682,-2.7260852869
279,-6.5951390682,-2.7316718936
280,-6.5951390682,-2.7372898859
281,-6.5951390682,-2.7401107623
282,-6.5951390682,-2.7429396185
283,-6.5951390682,-2.7486214519
284,-6.5951390682,-2.7543357532
285,-6.5951390682,-2.7572051956
286,-6.5951390682,-2.7658632584
287,-6.5951390682,-2.768766018
288,-6.5951390682,-2.768766018
289,-6.5551337336,-2.768766018
290,-6.5551337336,-2.768766018
291,-6.5166674527,-2.768766018
292,-6.4796261811,-2.768766018
293,-6.4616076756,-2.7775251981
294,-6.4616076756,-2.7804620578
295,-6.4616076756,-2.7804620578
296,-6.4439080985,-2.783407568
297,-6.4439080985,-2.7863617799
298,-6.4439080985,-2.8012651854
299,-6.4439080985,-2.8042727065
300,-6.4439080985,-2.816394067
301,-6.4439080985,-2.8255824931
302,-6.4439080985,-2.8255824931
303,-6.4265163557,-2.8286641596
304,-6.4094219224,-2.8348561299
305,-6.3926148041,-2.8379665523
306,-6.3760855021,-2.8379665523
307,-6.3438246399,-2.8410866796
308,-6.3438246399,-2.8442165726
309,-6.3438246399,-2.8473562926
310,-6.3438246399,-2.8536654618
311,-6.3280762829,-2.8568350366
312,-6.3280762829,-2.8568350366
313,-6.2973046243,-2.8568350366
314,-6.2973046243,-2.8600146895
315,-6.2973046243,-2.8632044849
316,-6.2973046243,-2.8728353779
317,-6.2973046243,-2.8760663985
318,-6.2973046243,-2.8760663985
319,-6.2674516611,-2.8760663985
320,-6.2674516611,-2.8890958988
321,-6.2674516611,-2.8890958988
322,-6.2674516611,-2.8956748699
323,-6.2674516611,-2.8956748699
324,-6.2674516611,-2.8956748699
325,-6.2528528617,-2.8956748699
326,-6.2528528617,-2.8956748699
327,-6.2102932473,-2.9056252007
328,-6.1964999251,-2.908964102
329,-6.1828942731,-2.9123141889
330,-6.1694712528,-2.9123141889
331,-6.156226026,-2.9190482211
332,-6.1302505396,-2.9190482211
333,-6.1049327316,-2.9292350664
334,-6.080240119,-2.9326538731
335,-6.080240119,-2.9429809873
336,-6.0681187585,-2.9429809873
337,-6.0681187585,-2.9464471953
338,-6.0681187585,-2.9499254596
339,-6.0681187585,-2.9499254596
340,-6.0561425674,-2.9604334372
341,-6.0561425674,-2.9604334372
342,-6.0561425674,-2.9639607778
343,-6.0443081098,-2.9710530061
344,-6.03261207,-2.9781958936
345,-6.0096225518,-2.9817865617
346,-5.987149696,-2.9853901692
347,-5.9651707892,-2.9853901692
348,-5.9651707892,-2.9890068097
349,-5.9330824747,-2.9926365777
350,-5.9330824747,-2.9926365777
351,-5.9330824747,-2.996279569
352,-5.9226111748,-2.9999358802
353,-5.9226111748,-3.0036056091
354,-5.9122483878,-3.0036056091
355,-5.9019918876,-3.0036056091
356,-5.8918395162,-3.0072888545
357,-5.8918395162,-3.0072888545
358,-5.8718388494,-3.0072888545
359,-5.861986553,-3.0072888545
360,-5.861986553,-3.0109857164
361,-5.8522303781,-3.0146962958
362,-5.8425684671,-3.0146962958
363,-5.8329990161,-3.0184206949
364,-5.8329990161,-3.0184206949
365,-5.8235202722,-3.022159017
366,-5.8235202722,-3.022159017
367,-5.8048281392,-3.0259113666
368,-5.8048281392,-3.0334585723
369,-5.7864790005,-3.0372536432
370,-5.7864790005,-3.0410631716
371,-5.7864790005,-3.0448872681
372,-5.777429165,-3.0448872681
373,-5.777429165,-3.0487260444
374,-5.768460495,-3.0487260444
375,-5.7507609179,-3.0487260444
376,-5.7333691752,-3.0487260444
377,-5.7247854315,-3.0487260444
378,-5.7247854315,-3.0487260444
379,-5.7162747418,-3.0525796137
380,-5.7162747418,-3.0525796137
381,-5.7078358732,-3.0564480905
382,-5.6911688207,-3.0681441302
383,-5.6747750109,-3.0681441302
384,-5.6666778007,-3.0720734084
385,-5.658645629,-3.0720734084
386,-5.6506774593,-3.0720734084
387,-5.6506774593,-3.0720734084
388,-5.6427722798,-3.0760181867
389,-5.6427722798,-3.0760181867
390,-5.6427722798,-3.0760181867
391,-5.6349291024,-3.0760181867
392,-5.6349291024,-3.0879467575
393,-5.6271469619,-3.0879467575
394,-5.6271469619,-3.0879467575
395,-5.6117620431,-3.0879467575
396,-5.6041574437,-3.0919547789
397,-5.5966102381,-3.0919547789
398,-5.5891195663,-3.0959789292
399,-5.5891195663,-3.0959789292
400,-5.5891195663,-3.1122394501
401,-5.5891195663,-3.1122394501
